
age,height,income,status_after_a_month
35,70,80000,1
23,71,20000,1
28,72,40000,0
40,71,60000,1
22,65,20000,1
35,73,150000,1
21,71,20000,1
34,69,100000,1
29,67,40000,1
25,78,80000,1
41,69,1000000,1
39,70,100000,1
21,72,500000,1
21,70,1000000,0
27,68,150000,1
27,68,150000,1
50,73,80000,1
59,73,80000,1
24,67,60000,1
50,66,80000,0
29,72,250000,1
27,74,30000,1
37,79,50000,1
42,71,150000,1
33,70,1000000,1
29,70,60000,1
33,68,80000,0
35,67,30000,1
30,69,60000,1
29,80,80000,1
28,73,30000,1
39,72,50000,1
36,67,80000,1
39,69,80000,1
47,69,50000,0
26,76,20000,0
28,73,80000,1
42,75,20000,1
32,68,60000,1
45,68,80000,1
45,66,100000,1
22,70,40000,1
32,74,20000,1
32,72,30000,1
34,73,70000,1
48,69,70000,1
35,71,50000,0
32,72,40000,1
31,74,40000,1
45,70,100000,1
37,76,20000,1
29,71,30000,1
30,70,60000,1
25,72,150000,1
30,72,50000,1
31,65,20000,1
47,76,60000,1
44,72,100000,1
33,70,100000,1
35,73,100000,1
25,70,250000,1
23,72,20000,1
59,64,60000,1
27,70,30000,1
30,75,100000,1
18,73,20000,1
20,67,20000,1
27,68,60000,1
32,76,60000,1
31,69,50000,1
37,75,50000,1
50,68,100000,0
32,83,70000,1
23,71,20000,1
28,69,100000,1
23,67,30000,1
52,70,70000,1
25,63,30000,1
35,73,30000,1
19,73,20000,0
43,72,150000,1
35,74,100000,1
41,73,100000,1
31,74,20000,1
34,71,100000,1
38,69,250000,1
27,73,80000,1
36,67,60000,1
41,71,70000,1
30,70,100000,1
21,73,20000,1
29,70,70000,1
23,72,500000,1
28,69,50000,1
29,73,40000,1
30,70,40000,1
36,67,20000,1
22,67,50000,1
38,70,50000,1
36,62,30000,1
24,69,50000,1
31,69,40000,1
22,68,60000,1
27,73,20000,0
25,68,20000,1
27,74,40000,1
25,68,50000,1
24,74,40000,1
59,70,20000,1
21,66,40000,1
38,74,30000,1
32,66,40000,0
29,72,50000,1
35,73,100000,1
20,67,20000,1
27,70,80000,1
23,71,1000000,1
25,72,100000,1
44,69,150000,1
25,70,100000,1
30,70,20000,1
39,68,150000,1
32,73,30000,1
24,68,30000,1
22,73,100000,1
25,67,100000,1
36,73,150000,1
42,67,50000,1
41,73,80000,1
34,68,100000,1
40,70,100000,1
23,71,1000000,1
31,71,1000000,1
28,73,80000,1
33,66,150000,1
31,71,40000,1
30,69,20000,1
34,73,20000,1
28,73,60000,1
40,67,150000,0
39,66,100000,1
39,67,100000,1
38,67,50000,1
26,70,60000,1
47,71,150000,1
29,70,1000000,1
30,65,20000,1
37,72,100000,1
28,75,100000,1
40,75,250000,1
25,72,50000,1
35,66,100000,1
36,74,100000,1
32,74,150000,1
26,63,100000,1
24,68,20000,1
37,69,150000,1
35,75,250000,1
28,69,100000,1
28,71,80000,1
43,71,150000,1
44,71,100000,1
38,68,100000,1
18,71,20000,1
21,71,20000,1
28,73,30000,1
43,69,70000,1
25,69,30000,1
30,69,250000,1
26,67,20000,1
27,74,50000,1
25,70,40000,1
27,71,20000,1
25,70,80000,1
36,71,50000,1
45,66,20000,1
29,71,80000,1
29,71,30000,1
24,68,80000,1
33,68,20000,1
25,70,20000,1
25,72,1000000,1
28,71,20000,1
28,70,50000,1
21,72,20000,1
20,72,40000,1
24,72,100000,1
31,70,80000,1
33,66,100000,1
24,70,80000,1
42,70,70000,1
22,72,20000,1
25,71,60000,1
29,73,250000,0
37,72,70000,1
60,68,60000,1
29,72,150000,1
23,72,20000,1
29,72,60000,1
23,75,20000,1
21,72,1000000,1
37,68,60000,1
40,70,100000,1
23,69,20000,0
31,68,100000,1
28,73,100000,1
32,70,50000,1
25,71,80000,1
27,72,40000,1
25,67,20000,1
38,72,100000,1
38,72,20000,1
27,71,70000,1
24,71,20000,1
21,72,20000,1
31,73,150000,1
32,68,70000,1
27,68,80000,1
48,71,80000,1
29,70,60000,1
24,74,20000,1
23,72,30000,1
25,70,20000,1
27,69,70000,1
25,72,30000,1
25,72,30000,1
23,71,60000,1
38,67,50000,1
34,68,30000,1
25,70,20000,1
24,72,100000,1
24,73,40000,1
35,71,50000,1
27,72,1000000,1
36,74,100000,1
23,64,40000,1
31,70,60000,1
42,67,60000,1
41,70,100000,1
33,72,40000,1
27,71,250000,1
28,69,100000,1
24,70,50000,1
38,71,30000,1
35,72,150000,1
32,68,80000,1
43,71,40000,1
27,75,80000,1
51,71,20000,1
37,67,60000,1
27,70,1000000,1
37,69,100000,1
22,69,80000,1
28,72,50000,1
36,75,150000,1
30,74,40000,0
28,68,80000,1
32,74,70000,1
22,69,1000000,1
39,69,20000,1
35,70,50000,1
57,69,100000,1
47,69,100000,1
45,72,100000,1
27,70,80000,1
29,74,1000000,1
31,74,70000,1
